variant,train_mode,learned_alpha,eval_loops,loss,perplexity
baseline_r8,full,1.0,1,7.8034491539001465,2449.0345236689386
baseline_r8,full,1.0,2,7.247872352600098,1405.1120824897107
baseline_r8,full,1.0,4,7.061059474945068,1165.6795200190834
baseline_r8,full,1.0,8,7.025726318359375,1125.2115240689943
baseline_r8,full,1.0,12,7.03265380859375,1133.0334778865802
baseline_r8,full,1.0,16,7.043889999389648,1145.8362507237396
fixed_05_r8,fixed,0.5,1,7.876435279846191,2634.4646721104746
fixed_05_r8,fixed,0.5,2,7.306809902191162,1490.4150276355597
fixed_05_r8,fixed,0.5,4,7.094539165496826,1205.3667608877731
fixed_05_r8,fixed,0.5,8,7.054813861846924,1158.421824711193
fixed_05_r8,fixed,0.5,12,7.063228607177734,1168.2107773623695
fixed_05_r8,fixed,0.5,16,7.075416088104248,1182.5354373813607
learned_shared_r8,learned_shared,0.5037716031074524,1,7.86941385269165,2616.031758732469
learned_shared_r8,learned_shared,0.5037716031074524,2,7.306772232055664,1490.3588845569857
learned_shared_r8,learned_shared,0.5037716031074524,4,7.094534873962402,1205.3615880259251
learned_shared_r8,learned_shared,0.5037716031074524,8,7.054313659667969,1157.8425244860196
learned_shared_r8,learned_shared,0.5037716031074524,12,7.062620639801025,1167.5007591764304
learned_shared_r8,learned_shared,0.5037716031074524,16,7.074772834777832,1181.7750121269178
