variant,loop_input_dropout,dropout_start_loop,eval_loops,loss,perplexity
baseline_r8,0.0,,1,7.8034491539001465,2449.0345236689386
baseline_r8,0.0,,2,7.247872352600098,1405.1120824897107
baseline_r8,0.0,,4,7.061059474945068,1165.6795200190834
baseline_r8,0.0,,8,7.025726318359375,1125.2115240689943
baseline_r8,0.0,,12,7.03265380859375,1133.0334778865802
baseline_r8,0.0,,16,7.043889999389648,1145.8362507237396
dropout_p010_r8,0.1,2,1,8.652384757995605,5723.780301751797
dropout_p010_r8,0.1,2,2,8.961495399475098,7797.0083908669
dropout_p010_r8,0.1,2,4,9.149127006530762,9406.225220202707
dropout_p010_r8,0.1,2,8,6.990782737731934,1086.5716440375231
dropout_p010_r8,0.1,2,12,7.113393306732178,1228.3085099217296
dropout_p010_r8,0.1,2,16,7.1768107414245605,1308.7277242696819
dropout_p020_r8,0.2,2,1,8.72679328918457,6165.9240399013215
dropout_p020_r8,0.2,2,2,8.751112937927246,6317.715421988266
dropout_p020_r8,0.2,2,4,9.422537803649902,12363.919639180736
dropout_p020_r8,0.2,2,8,7.131136417388916,1250.2970191482723
dropout_p020_r8,0.2,2,12,7.265566349029541,1430.1953882063196
dropout_p020_r8,0.2,2,16,7.335473537445068,1533.7538979077972
