variant,metric_source,loop_update_mode,loop_update_alpha_config,loop_update_start_loop,learned_schedule_slope,eval_loops,loss,perplexity,last_loop_update_alpha,last_hidden_norm,last_relative_update,last_cosine_to_previous
control_r16,evaluation,full,1.0,2,,1,8.237207412719727,3778.9724488105608,1.0,6.8362345695495605,17.84880828857422,0.056175392121076584
control_r16,evaluation,full,1.0,2,,2,7.606540203094482,2011.3073310717439,1.0,13.469456672668457,1.140807867050171,0.8928775787353516
control_r16,evaluation,full,1.0,2,,4,7.363030433654785,1576.6071341768268,1.0,28.53554916381836,0.388531893491745,0.993392825126648
control_r16,evaluation,full,1.0,2,,8,7.270852088928223,1437.7750434283316,1.0,59.93781661987305,0.15683399140834808,0.9993482828140259
control_r16,evaluation,full,1.0,2,,12,7.257408142089844,1418.575023386265,1.0,92.00601959228516,0.09782302379608154,0.9998173117637634
control_r16,evaluation,full,1.0,2,,16,7.256990909576416,1417.983271221478,1.0,124.46968841552734,0.07097864151000977,0.9999265074729919
control_r16,evaluation,full,1.0,2,,20,7.259092807769775,1420.9668622012646,1.0,157.20741271972656,0.05566021800041199,0.9999638795852661
control_r16,evaluation,full,1.0,2,,24,7.261512279510498,1424.4090137839535,1.0,190.15151977539062,0.04576530307531357,0.9999797344207764
control_r16,evaluation,full,1.0,2,,32,7.265706539154053,1430.3959015305338,1.0,256.5018005371094,0.033745408058166504,0.9999917149543762
projected_fixed_a025_r16,training_validation,normalized_projected,0.25,2,,16,7.266695976257324,1431.8118887074818,0.25,,,
projected_learned_a025_r16,evaluation,normalized_projected_learned,0.25,2,-0.01370535884052515,1,11.261998176574707,77807.89448706569,1.0,5.741387367248535,15.130887031555176,0.02533698081970215
projected_learned_a025_r16,evaluation,normalized_projected_learned,0.25,2,-0.01370535884052515,2,11.209431648254395,73823.44538310956,0.2484711855649948,5.741387367248535,0.20078447461128235,0.9780596494674683
projected_learned_a025_r16,evaluation,normalized_projected_learned,0.25,2,-0.01370535884052515,4,10.942584991455078,56533.292504027704,0.24670150876045227,5.741387367248535,0.17246539890766144,0.9827483892440796
projected_learned_a025_r16,evaluation,normalized_projected_learned,0.25,2,-0.01370535884052515,8,9.988616943359375,21777.158916199547,0.24494028091430664,5.741387367248535,0.13467073440551758,0.9903162121772766
projected_learned_a025_r16,evaluation,normalized_projected_learned,0.25,2,-0.01370535884052515,12,8.255147933959961,3847.380991920624,0.24391399323940277,5.741387367248535,0.17649663984775543,0.9838505983352661
projected_learned_a025_r16,evaluation,normalized_projected_learned,0.25,2,-0.01370535884052515,16,7.264042854309082,1428.0181520082092,0.24318762123584747,5.741387367248535,0.1584337204694748,0.9870527386665344
projected_learned_a025_r16,evaluation,normalized_projected_learned,0.25,2,-0.01370535884052515,20,7.398826599121094,1634.0658902561324,0.2426251918077469,5.741387367248535,0.08212985098361969,0.9965154528617859
projected_learned_a025_r16,evaluation,normalized_projected_learned,0.25,2,-0.01370535884052515,24,7.502690315246582,1812.9131675229676,0.24216631054878235,5.741387367248535,0.03856634721159935,0.9992300271987915
projected_learned_a025_r16,evaluation,normalized_projected_learned,0.25,2,-0.01370535884052515,32,7.5830979347229,1964.7060784587418,0.2414434850215912,5.741387367248535,0.008461927995085716,0.9999625086784363
