seed,eval_loops,final_perplexity,intermediate_perplexity,absolute_delta,relative_delta_percent
42,4,1520.1413302344354,1209.482757842548,-310.65857239188745,-20.43616381010954
42,5,1454.8451710122895,1150.408144321315,-304.43702669097456,-20.925733731455807
42,6,1421.399217496651,1124.9379205793296,-296.46129691732153,-20.857004370626086
42,7,1404.5607727300535,1114.1533489234478,-290.4074238066057,-20.67603121523457
42,8,1396.3010568053207,1109.6599235934593,-286.6411332118614,-20.528605332984885
42,9,1392.4374005688562,1107.8734427794948,-284.56395778936144,-20.436391443745173
42,10,1390.7930647527999,1107.3183646209136,-283.47470013188627,-20.38223423139309
42,11,1390.291126717292,1107.37116693403,-282.9199597832619,-20.349691826868156
42,12,1390.3633893244325,1107.794732567267,-282.5686567571656,-20.323367180609065
42,13,1390.7519480882036,1108.4647404937857,-282.28720759441785,-20.29745189158022
42,14,1391.3429511528207,1109.2996465477354,-282.04330460508527,-20.271300068138743
42,15,1392.0576638671332,1110.2902929316901,-281.76737093544307,-20.241070341345914
42,16,1392.8929556758171,1111.3803898579642,-281.5125658178529,-20.2106389202942
42,17,1393.8330919195778,1112.5654538137846,-281.26763810579314,-20.179434663761153
42,18,1394.876953920874,1113.836757161313,-281.040196759561,-20.14802782206575
42,19,1396.0161199606123,1115.163750533794,-280.8523694268183,-20.118132263024467
42,20,1397.2628149591058,1116.5530183910998,-280.7097965680059,-20.08997831780284
42,21,1398.6053208892508,1117.9919949762034,-280.61332591304745,-20.063796535153323
42,22,1400.043244112479,1119.4830031849972,-280.5602409274818,-20.03939821911256
42,23,1401.5608365064954,1121.0230388862758,-280.53779762021964,-20.01609850340018
42,24,1403.1610301736025,1122.5973104709137,-280.5637197026888,-19.995119139531457
42,25,1404.824007873607,1124.2215021015375,-280.60250577206943,-19.974210591460473
42,26,1406.5499884250773,1125.8893815533033,-280.660606871774,-19.953830946743057
42,27,1408.3351698323204,1127.5871565627253,-280.74801326959505,-19.934744177625095
42,28,1410.160271815763,1129.320339855334,-280.8399319604291,-19.91546192113408
42,29,1412.0288101800602,1131.0880080715249,-280.9408021085353,-19.89625141378738
42,30,1413.9254442895349,1132.8924755479125,-281.0329687416224,-19.876081152414304
42,31,1415.846229888073,1134.7122663696343,-281.1339635184386,-19.85624975253585
42,32,1417.789230277698,1136.571291063948,-281.21793921375,-19.834960881926623
43,4,1525.1663726449176,1242.206802544249,-282.95957010066854,-18.552701867532317
43,5,1455.4939477893195,1175.341476894807,-280.15247089451236,-19.247931007890664
43,6,1419.1656690783147,1146.9251513779595,-272.2405177003552,-19.183138630824082
43,7,1401.2046691885105,1135.3509121330226,-265.8537570554879,-18.973228030238698
43,8,1392.989929786686,1130.8582705247547,-262.1316592619312,-18.81791487911707
43,9,1389.7608738854724,1129.3596511783398,-260.40122270713255,-18.73712432118676
43,10,1388.9936911289226,1129.2142599632143,-259.7794311657083,-18.702707782248396
43,11,1389.3659669864942,1129.7646913202454,-259.60127566624874,-18.684873664303037
43,12,1390.2513507380982,1130.7315573420688,-259.5197933960294,-18.667113199224573
43,13,1391.3024816562393,1131.9534480393113,-259.34903361692795,-18.640736794215496
43,14,1392.4035387200497,1133.344717566006,-259.0588211540437,-18.60515389038586
43,15,1393.490848767379,1134.8367199777506,-258.65412878962843,-18.56159507745764
43,16,1394.5617183239751,1136.3729512224472,-258.1887671015279,-18.51397207517116
43,17,1395.607456958602,1137.9194010718336,-257.6880558867683,-18.464221769661428
43,18,1396.6453220923806,1139.4538286606146,-257.19149343176605,-18.414946827477664
43,19,1397.6806267164025,1140.9652985601097,-256.7153281562928,-18.367238069214643
43,20,1398.7313719896472,1142.4439082505069,-256.2874637391403,-18.322850896993913
43,21,1399.8029313881975,1143.8840703657463,-255.9188610224512,-18.28249214828077
43,22,1400.9040355405227,1145.3063872900798,-255.59764825044294,-18.245193229943368
43,23,1402.0314101518757,1146.6889164093498,-255.3424937425259,-18.212323339807757
43,24,1403.1991682130242,1148.0501220010099,-255.14904621201435,-18.1833806627
43,25,1404.4000427031008,1149.3948568554658,-255.00518584763495,-18.15758887024932
43,26,1405.6367979962297,1150.729643844261,-254.9071541519686,-18.13463865739322
43,27,1406.9202609586596,1152.058290070593,-254.86197088806648,-18.11488383246442
43,28,1408.2438424641712,1153.378020823974,-254.86582164019705,-18.098131442508436
43,29,1409.6083256552183,1154.703668220423,-254.90465743479535,-18.083367755103875
43,30,1411.0070987536462,1156.0352491800152,-254.97184957363106,-18.070203176075427
43,31,1412.4517107981173,1157.3805070329074,-255.07120376520993,-18.05875569516496
43,32,1413.9254442895349,1158.7262252906949,-255.19921899884002,-18.048986955395783
44,4,1523.8498805424424,1149.9918646268213,-373.8580159156211,-24.533782539165827
44,5,1393.3586258657879,1120.1066682003516,-273.2519576654363,-19.611028531555995
44,6,1335.4198027312354,1105.1962143376782,-230.2235883935573,-17.239791406619698
44,7,1309.4524469176145,1097.3393215357755,-212.11312538183893,-16.198612319305116
44,8,1297.4599874785347,1092.9522730339754,-204.50771444455927,-15.762159636382822
44,9,1291.624793606985,1090.4036485811403,-201.22114502584463,-15.578916262819288
44,10,1288.6116614134446,1088.9555243819577,-199.65613703148688,-15.493894942134023
44,11,1287.0162881269277,1088.2324430966744,-198.78384503025336,-15.445324730082122
44,12,1286.2273154700747,1088.0389070030942,-198.1884084669805,-15.40850564152022
44,13,1285.9777180528731,1088.2423024249836,-197.73541562788955,-15.376270743421983
44,14,1286.1040438610473,1088.7447274775145,-197.3593163835328,-15.34551713180492
44,15,1286.5008857151984,1089.4826952188196,-197.0181904963788,-15.31426776957494
44,16,1287.123075867892,1090.4046884715904,-196.71838739630175,-15.283572417008905
44,17,1287.9040002692782,1091.463291040671,-196.44070922860715,-15.252744706712207
44,18,1288.8224377172203,1092.6417056543742,-196.18073206284612,-15.221703651460638
44,19,1289.843623616948,1093.9090206177991,-195.93460299914886,-15.190570346017129
44,20,1290.9530272450322,1095.251441196288,-195.70158604874428,-15.159466062555559
44,21,1292.1373196542238,1096.6676713905033,-195.4696482637205,-15.127621909103917
44,22,1293.394854925924,1098.143331260379,-195.25152366554494,-15.096049201210683
