intervention,eval_loops,native_perplexity,intervention_perplexity,delta_ppl,delta_percent
alternating_force_am,4,1143.44343454128,1141.019705322315,-2.423729218965036,-0.21196756619075163
alternating_force_am,5,1128.5333244354922,1129.863280244304,1.3299558088117465,0.11784816451716473
alternating_force_am,6,1122.2595894346812,1125.2877157069695,3.0281262722883184,0.2698240496936899
alternating_force_am,7,1117.4339784505619,1124.2788631175788,6.844884667016913,0.6125538330692404
alternating_force_am,8,1115.2312850209053,1125.267862459234,10.036577438328777,0.8999547962053933
alternating_force_am,9,1113.7554989561293,1127.42263987617,13.667140920040765,1.2271221944897492
alternating_force_am,10,1112.8424158322644,1130.313235079567,17.470819247302643,1.5699275116357603
alternating_force_am,11,1112.7113543306195,1133.6895585353295,20.978204204709982,1.8853231004666071
alternating_force_am,12,1112.3681206477745,1137.4344180368703,25.06629738909578,2.253417454511264
alternating_force_am,13,1112.914585839999,1141.4523313903005,28.53774555030145,2.56423501977574
alternating_force_am,14,1112.9161778782232,1145.7379070299723,32.821729151749196,2.949164528664139
alternating_force_am,15,1113.8548153453319,1150.2287800518804,36.37396470654858,3.26559298442064
alternating_force_am,16,1114.1214731964337,1154.9277864529358,40.80631325650211,3.6626448944950374
alternating_force_am,17,1115.3312648409405,1159.8168675485674,44.48560270762687,3.9885551593473068
alternating_force_am,18,1115.822785319427,1164.8982718661948,49.075486546767706,4.398143432132806
alternating_force_am,19,1117.2277907011264,1170.1531396740265,52.92534897290011,4.737203049674088
alternating_force_am,20,1117.9152311935966,1175.5763274341905,57.661096240593906,5.15791310751077
alternating_force_am,21,1119.4888751224298,1181.1513664778713,61.66249135544149,5.508093267000791
alternating_force_am,22,1120.3555904072816,1186.8864015678937,66.53081116061207,5.9383656162617315
alternating_force_am,23,1122.0840788561206,1192.7692845306442,70.68520567452356,6.299457144653697
alternating_force_am,24,1123.12952092314,1198.77106716115,75.64154623801005,6.73489075203344
alternating_force_am,25,1124.9958545888014,1204.891525049684,79.89567046088268,7.101863543318165
