trained_schedule,evaluated_schedule,eval_loops,perplexity
fixed_am,attention_mlp,4,1209.482757842548
fixed_am,attention_mlp,5,1150.408144321315
fixed_am,attention_mlp,6,1124.9379205793296
fixed_am,attention_mlp,7,1114.1533489234478
fixed_am,attention_mlp,8,1109.6599235934593
fixed_am,attention_mlp,9,1107.8734427794948
fixed_am,attention_mlp,10,1107.3183646209136
fixed_am,attention_mlp,11,1107.37116693403
fixed_am,attention_mlp,12,1107.794732567267
fixed_am,attention_mlp,13,1108.4647404937857
fixed_am,attention_mlp,14,1109.2996465477354
fixed_am,attention_mlp,15,1110.2902929316901
fixed_am,attention_mlp,16,1111.3803898579642
fixed_am,attention_mlp,17,1112.5654538137846
fixed_am,attention_mlp,18,1113.836757161313
fixed_am,attention_mlp,19,1115.163750533794
fixed_am,attention_mlp,20,1116.5530183910998
fixed_am,attention_mlp,21,1117.9919949762034
fixed_am,attention_mlp,22,1119.4830031849972
fixed_am,attention_mlp,23,1121.0230388862758
fixed_am,attention_mlp,24,1122.5973104709137
fixed_am,attention_mlp,25,1124.2215021015375
fixed_am,attention_mlp,26,1125.8893815533033
fixed_am,attention_mlp,27,1127.5871565627253
fixed_am,attention_mlp,28,1129.320339855334
fixed_am,attention_mlp,29,1131.0880080715249
fixed_am,attention_mlp,30,1132.8924755479125
fixed_am,attention_mlp,31,1134.7122663696343
fixed_am,attention_mlp,32,1136.571291063948
fixed_ma,mlp_attention,4,1052.5745438722147
fixed_ma,mlp_attention,5,1021.144632935881
fixed_ma,mlp_attention,6,1005.991791241223
fixed_ma,mlp_attention,7,998.0255576863254
fixed_ma,mlp_attention,8,993.5010348453457
fixed_ma,mlp_attention,9,990.8185670773224
fixed_ma,mlp_attention,10,989.3017182193965
fixed_ma,mlp_attention,11,988.5797542416187
fixed_ma,mlp_attention,12,988.4463594306275
fixed_ma,mlp_attention,13,988.7570133584177
fixed_ma,mlp_attention,14,989.4007877016984
fixed_ma,mlp_attention,15,990.3159980856335
fixed_ma,mlp_attention,16,991.4381546125857
fixed_ma,mlp_attention,17,992.7215676832302
fixed_ma,mlp_attention,18,994.1526384732438
fixed_ma,mlp_attention,19,995.7016136598122
fixed_ma,mlp_attention,20,997.3590505060854
fixed_ma,mlp_attention,21,999.1188124947314
fixed_ma,mlp_attention,22,1000.963771115076
fixed_ma,mlp_attention,23,1002.8953430491455
fixed_ma,mlp_attention,24,1004.9068286025746
fixed_ma,mlp_attention,25,1006.9919709647767
fixed_ma,mlp_attention,26,1009.1540988280535
fixed_ma,mlp_attention,27,1011.3903133064566
fixed_ma,mlp_attention,28,1013.6928687562845
fixed_ma,mlp_attention,29,1016.063164407545
fixed_ma,mlp_attention,30,1018.5050502304828
fixed_ma,mlp_attention,31,1021.0165810830389
fixed_ma,mlp_attention,32,1023.5850645319643
fixed_ma,attention_mlp,4,1543.661925482083
fixed_ma,attention_mlp,5,1529.5784589699954
fixed_ma,attention_mlp,6,1527.708794580441
fixed_ma,attention_mlp,7,1531.3364963742015
fixed_ma,attention_mlp,8,1536.824252481688
fixed_ma,attention_mlp,9,1542.4809764817521
fixed_ma,attention_mlp,10,1547.709011271792
fixed_ma,attention_mlp,11,1552.4720305749042
fixed_ma,attention_mlp,12,1556.9638506478286
fixed_ma,attention_mlp,13,1561.3875114407256
fixed_ma,attention_mlp,14,1565.9588889862878
fixed_ma,attention_mlp,15,1570.835746108307
fixed_ma,attention_mlp,16,1576.1268168276063
fixed_ma,attention_mlp,17,1581.9131188570068
fixed_ma,attention_mlp,18,1588.1817948861917
fixed_ma,attention_mlp,19,1594.9429681024067
fixed_ma,attention_mlp,20,1602.1698584473443
fixed_ma,attention_mlp,21,1609.8147936336488
fixed_ma,attention_mlp,22,1617.8209499360973
fixed_ma,attention_mlp,23,1626.1483723095923
fixed_ma,attention_mlp,24,1634.7283303294942
fixed_ma,attention_mlp,25,1643.5290967859348
fixed_ma,attention_mlp,26,1652.490706916811
fixed_ma,attention_mlp,27,1661.581202429361
fixed_ma,attention_mlp,28,1670.7559623759976
fixed_ma,attention_mlp,29,1679.989393427983
fixed_ma,attention_mlp,30,1689.2537154333147
fixed_ma,attention_mlp,31,1698.5318687837284
fixed_ma,attention_mlp,32,1707.7811754423437
