seed,eval_loops,fixed_am_perplexity,fixed_ma_perplexity,absolute_delta,relative_delta_percent
42,4,1209.482757842548,1052.5745438722147,-156.90821397033324,-12.97316666590792
42,5,1150.408144321315,1021.144632935881,-129.26351138543396,-11.236317477715108
42,6,1124.9379205793296,1005.991791241223,-118.94612933810652,-10.573572742294147
42,7,1114.1533489234478,998.0255576863254,-116.12779123712232,-10.422962992422091
42,8,1109.6599235934593,993.5010348453457,-116.15888874811367,-10.467971878442839
42,9,1107.8734427794948,990.8185670773224,-117.05487570217235,-10.56572629889011
42,10,1107.3183646209136,989.3017182193965,-118.01664640151705,-10.657878544434652
42,11,1107.37116693403,988.5797542416187,-118.79141269241131,-10.727334812347355
42,12,1107.794732567267,988.4463594306275,-119.34837313663945,-10.773509715112539
42,13,1108.4647404937857,988.7570133584177,-119.70772713536803,-10.79941677549816
42,14,1109.2996465477354,989.4007877016984,-119.898858846037,-10.808518619759377
42,15,1110.2902929316901,990.3159980856335,-119.97429484605664,-10.805669076802237
42,16,1111.3803898579642,991.4381546125857,-119.94223524537858,-10.792185676472787
42,17,1112.5654538137846,992.7215676832302,-119.84388613055444,-10.771850385947113
42,18,1113.836757161313,994.1526384732438,-119.68411868806925,-10.745211802229637
42,19,1115.163750533794,995.7016136598122,-119.46213687398176,-10.712519736836768
42,20,1116.5530183910998,997.3590505060854,-119.19396788501444,-10.67517313748051
42,21,1117.9919949762034,999.1188124947314,-118.87318248147199,-10.632740038894662
42,22,1119.4830031849972,1000.963771115076,-118.51923206992115,-10.586961278798046
42,23,1121.0230388862758,1002.8953430491455,-118.12769583713032,-10.537490465360012
42,24,1122.5973104709137,1004.9068286025746,-117.69048186833913,-10.483766598279987
42,25,1124.2215021015375,1006.9919709647767,-117.22953113676078,-10.427618660345894
42,26,1125.8893815533033,1009.1540988280535,-116.73528272524982,-10.368272819501955
42,27,1127.5871565627253,1011.3903133064566,-116.19684325626872,-10.304910141977563
42,28,1129.320339855334,1013.6928687562845,-115.62747109904944,-10.238677815176988
42,29,1131.0880080715249,1016.063164407545,-115.02484366397994,-10.169398211558644
42,30,1132.8924755479125,1018.5050502304828,-114.38742531742969,-10.09693574512509
42,31,1134.7122663696343,1021.0165810830389,-113.69568528659545,-10.019781107183245
42,32,1136.571291063948,1023.5850645319643,-112.98622653198356,-9.94097136011739
43,4,1242.206802544249,999.0878458712383,-243.11895667301076,-19.571536412058133
43,5,1175.341476894807,948.9894686766064,-226.3520082182007,-19.25840384840424
43,6,1146.9251513779595,926.911119523023,-220.01403185493655,-19.18294594818183
43,7,1135.3509121330226,916.317613991248,-219.0332981417746,-19.292123325137357
43,8,1130.8582705247547,910.8178895872816,-220.04038093747317,-19.45782125600649
43,9,1129.3596511783398,907.8654559959962,-221.49419518234367,-19.612370156065285
43,10,1129.2142599632143,906.3735972551196,-222.84066270809467,-19.73413466416497
43,11,1129.7646913202454,905.822719151804,-223.94197216844145,-19.82200133257328
43,12,1130.7315573420688,905.9173167459462,-224.81424059612254,-19.882193889111722
43,13,1131.9534480393113,906.4790583870447,-225.4743896522666,-19.91905144534143
43,14,1133.344717566006,907.3738102411767,-225.97090732482934,-19.938409190288464
43,15,1134.8367199777506,908.5271743207387,-226.30954565701188,-19.942035860581676
43,16,1136.3729512224472,909.8650738781744,-226.50787734427286,-19.93252981783914
43,17,1137.9194010718336,911.3670251917955,-226.55237588003808,-19.9093517226829
43,18,1139.4538286606146,912.9907333718651,-226.4630952887495,-19.8747057223853
